political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
neutral,1.0,1.0,1.0,False,False,2032,Trump,mw_per_1000_operating_host_population,3.5332427077323443,4.551237471957405,5.708826463930537,39252529.0
neutral,1.0,1.0,1.0,False,False,2032,Trump,operating_host_residents_millions,26.7907875,29.8013555,33.500337249999994,39252529.0
neutral,1.0,1.0,1.0,False,False,2032,Trump,operating_project_count,186.0,210.0,226.0,39252529.0
neutral,1.0,1.0,1.0,False,False,2032,Trump,operating_gw_per_listed_proposal,0.08002344183826654,0.19471870202807562,0.35545388214745327,39252529.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,operating_gw,54.61832509096238,71.65494382861027,91.80147062573467,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_fixed_host_population,0.6707822473466675,0.8800135151491063,1.127438394961854,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_operating_host_population,0.7594440770953664,0.9800379713389968,1.251352533526415,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,operating_host_residents_millions,69.5646955,73.158421,76.4489152,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,operating_project_count,118.0,128.0,137.0,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Harris,operating_gw_per_listed_proposal,0.04039554558124726,0.12078839387054412,0.24499503614664206,81424822.0
neutral,1.0,1.0,1.0,False,False,2032,Trump/Harris,intensity_ratio,3.0186220909686265,3.931851295336225,5.0521931214046285,
neutral,1.0,1.0,1.0,False,False,2034,Trump,operating_gw,126.38154854428313,161.2727467136088,195.6987021922499,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Trump,mw_per_1000_fixed_host_population,3.219704609205769,4.108595059279079,4.9856329560892725,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Trump,mw_per_1000_operating_host_population,4.179652934966712,5.226548270946974,6.3522526887174084,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Trump,operating_host_residents_millions,27.7650223,30.619656499999998,34.15767835,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Trump,operating_project_count,197.0,217.0,231.0,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Trump,operating_gw_per_listed_proposal,0.1430361511950338,0.2899333453605647,0.4714983664431392,39252529.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,operating_gw,61.85308651344714,78.51880900587528,98.40308750405829,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,mw_per_1000_fixed_host_population,0.7596342858870128,0.9643104777788193,1.2085146161456555,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,mw_per_1000_operating_host_population,0.8431536635542377,1.0624475051051885,1.330943574421905,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,operating_host_residents_millions,70.67557045,73.92131950000001,77.08986295,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,operating_project_count,122.0,131.0,139.0,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Harris,operating_gw_per_listed_proposal,0.0753352558317984,0.17515255970366161,0.30917778200315904,81424822.0
neutral,1.0,1.0,1.0,False,False,2034,Trump/Harris,intensity_ratio,3.3081996626367376,4.2295444048215325,5.391982756053256,
neutral,1.0,1.0,1.0,False,False,2036,Trump,operating_gw,143.83325228019999,175.46730245128663,207.79544631136986,39252529.0
neutral,1.0,1.0,1.0,False,False,2036,Trump,mw_per_1000_fixed_host_population,3.6643053567376507,4.470216491051739,5.2938104016525855,39252529.0
neutral,1.0,1.0,1.0,False,False,2036,Trump,mw_per_1000_operating_host_population,4.680625943621349,5.640446926355029,6.749329997663079,39252529.0
neutral,1.0,1.0,1.0,False,False,2036,Trump,operating_host_residents_millions,28.0652321,30.920627500000002,34.3816212,39252529.0
neutral,1.0,1.0,1.0,False,False,2036,Trump,operating_project_count,200.0,219.0,233.0,39252529.0
