id,name,county_winner,status,operating_mw_2030_p05,operating_mw_2030_median,operating_mw_2030_p95,mean_operating_mw_2030,probability_operating_2030
microsoft-firecracker-rome-ga,"Microsoft Data Center Campus – Rome, GA",Trump,permitted,0.0,110.75710874298596,733.2979118620609,205.42983308758707,0.5755
microsoft-douglasville-ga,Microsoft Douglasville Data Center Campus,Harris,under_construction,0.0,158.30248481358672,560.5789991978506,206.71224204272465,0.8735
microsoft-fairwater-fayetteville-ga,Microsoft Fairwater Atlanta (Azure AI Superfactory),Trump,operational,1250.2479538520172,1455.8152163477894,1500.0,1427.9519099840331,1.0
microsoft-tyrone-ga,Microsoft Tyrone Campus (Project Rita),Trump,permitted,0.0,46.74389347776476,96.0,46.03568243011123,0.58225
northern-data-maysville-ga,Northern Data Maysville HPC Campus,Trump,proposed,0.0,0.0,180.0,38.107281838037764,0.3065
openai-project-camellia-effingham-ga,Project Camellia (OpenAI Effingham County Campus),Trump,proposed,0.0,0.0,1515.804730401083,345.9374040645935,0.306
prologis-project-sail-coweta-ga,Project Sail – Prologis Data Center Campus,Trump,permitted,0.0,276.8093659866727,819.8613258117366,282.355074551095,0.59075
qts-blue-hole-blakely-ga,QTS Project Blue Hole,Trump,permitted,0.0,283.5260982019745,870.5308474841838,294.5161060306467,0.5765
qts-eisenhower-augusta-ga,QTS Project Eisenhower,Harris,under_construction,0.0,179.6876605524495,645.0152766706163,233.83406484883858,0.87075
tpa-social-circle-technology-park-ga,Social Circle Technology Park,Harris,proposed,0.0,0.0,372.8958014710894,53.16342917037546,0.1625
switch-atlanta-the-keep-ga,Switch Atlanta: The KEEP,Harris,operational,40.93621345514246,416.89994944374746,3241.2053489389427,848.4823153896713,1.0
t5-atlanta-iv-palmetto-ga,T5 @ Atlanta IV,Harris,proposed,0.0,0.0,193.57584205278891,20.89564017460752,0.1125
white-oak-technology-park-columbia-county-ga,White Oak Technology Park,Trump,permitted,0.0,345.86454035388033,1880.752838270485,541.7750001600006,0.59325
servpac-mtp2-mililani-hi,Servpac MTP Building 2,Harris,proposed,0.0,0.0,395.11483040955983,61.50834940218479,0.154
apple-waukee-ia,Apple Waukee Data Center,Trump,operational,425.36284507229425,1527.3000355325194,5025.941629810516,1942.2853566343942,1.0
google-cedar-rapids-ia,Google Cedar Rapids Data Center Campus,Harris,under_construction,0.0,626.9198027359931,2062.3574862489463,771.3147623350922,0.87075
google-council-bluffs-ia,Google Council Bluffs Data Center,Trump,operational,48.25636733329288,443.5892908457697,3716.222438713233,934.1980730634676,1.0
meta-altoona-ia,Meta Altoona Data Center Campus,Harris,operational,32.35133505198187,322.5853796072457,2812.0229665105217,717.1821370915825,1.0
microsoft-ginger-west-ia,Microsoft Project Ginger West Data Center,Harris,under_construction,0.0,171.95875915941764,656.4571404295419,229.01463030219338,0.86775
qts-cedar-rapids-ia,QTS Cedar Rapids Data Center Campus,Harris,under_construction,0.0,555.9853345686823,1050.0,546.6897204034316,0.87025
qts-clinton-clinton-county-ia,QTS Clinton Data Center Campus,Trump,proposed,0.0,0.0,903.441461119933,148.90966360791904,0.23325
midamerican-salix-ia,Salix Data Center Site (MidAmerican),Trump,proposed,0.0,0.0,771.3905808465619,131.1282181489551,0.23575
meta-kuna-id,Meta Kuna Data Center,Trump,under_construction,0.0,276.536021673147,1012.1871796409358,357.292983599731,0.86725
lex-portneuf-pocatello-id,Portneuf Data Center (former Hoku plant),Trump,cancelled,0.0,0.0,0.0,0.0,0.0
aligned-ord-01-il,Aligned ORD-01,Harris,operational,38.508215950131024,402.188941600148,3313.9580959722275,846.6718473941431,1.0
cyrusone-chi1-chi3-aurora-il,CyrusOne CHI1-CHI3 (Aurora),Harris,operational,44.79472762901238,424.89780880105945,3103.1932711193695,836.8788162133194,1.0
edgeconnex-chi02-il,EdgeConneX CHI02,Harris,operational,41.142487893303326,415.54398091818393,3387.512229817304,875.2666869944286,1.0
edged-aurora-il,Edged Chicago Campus — Aurora (ORD01),Harris,under_construction,0.0,72.0,72.0,58.1038859622328,0.869
equinix-ch8-minooka-il,Equinix CH8 Minooka,Trump,proposed,0.0,0.0,413.0736775151154,74.1577633324304,0.253
hut8-batavia-il,Hut 8 Batavia Data Center,Harris,under_construction,0.0,50.0,50.0,40.989626039605845,0.874
hydravault-chicago-il,HydraVault Chicago,Harris,under_construction,0.0,20.0,20.0,16.436529990749644,0.87875
joliet-technology-center-il,Joliet Technology Center,Harris,permitted,0.0,458.86595004538606,1269.8938162613583,456.1481968585845,0.578
lambda-chicago-edgeconnex-il,Lambda Chicago EdgeConneX AI Factory,Harris,under_construction,0.0,23.0,23.0,18.84398750454874,0.8735
hut8-logan-prairie-latham-il,Logan Prairie Data Center,Trump,proposed,0.0,0.0,405.90444156743115,75.48268712743065,0.27475
eagle-rock-meridian-technology-park-taylorville-il,Meridian Technology Park,Trump,proposed,0.0,0.0,630.5969847425013,129.04849375737112,0.28525
meta-dekalb-data-center-il,Meta DeKalb Data Center,Harris,operational,34.8258425354298,322.2226313942598,3003.6065616288997,725.9775260612422,1.0
ntt-chicago-ch2-data-center-il,NTT Chicago CH2 Data Center,Harris,operational,44.36618833592426,417.9053585466765,3204.5666333932927,847.7904704809471,1.0
project-cardinal-yorkville-il,Project Cardinal Data Center Campus,Harris,permitted,0.0,445.15078628734574,1234.7904428951667,444.43697732214383,0.5715
t5-chicago-iv-grayslake-il,T5 Chicago IV (CHI IV),Harris,under_construction,0.0,614.8280632290757,1200.0,604.5461196992378,0.87775
chirisa-volo-data-center-il,Volo Data Center,Harris,operational,29.557284846212625,114.72358420795749,418.7783312192757,156.082333941559,1.0
aws-hobart-in,AWS Hobart Campus,Harris,under_construction,0.0,1011.3363586484058,1871.2693230858026,984.9577775437124,0.8655
aws-wheatfield-in,AWS Wheatfield Campus (Project Rise),Trump,permitted,0.0,104.41399754405668,726.4883392493421,196.56039706842577,0.57625
amazon-project-rainier-new-carlisle-in,Amazon Project Rainier,Harris,operational,1747.9226861805953,2080.398302451049,2200.0,2044.481304881145,1.0
coreweave-digital-crossroads-hammond-in,CoreWeave Digital Crossroads,Harris,cancelled,0.0,0.0,0.0,0.0,0.0
dc-blox-warren-township-marion-county-in,DC BLOX Warren Township Data Center,Harris,permitted,0.0,39.22604055139393,78.0,38.12537331467893,0.57625
google-fort-wayne-in,Google Fort Wayne Data Center (Project Zodiac),Trump,operational,207.40433422235398,798.9721507118338,3106.0655874717027,1114.1020049735953,1.0
google-project-louie-monrovia-in,Google Project Louie (Morgan County),Trump,under_construction,0.0,282.3822386863126,390.0,256.93378872435784,0.8735
jefferson-proving-ground-data-center-jefferson-county-in,Jefferson Proving Ground Data Center,Trump,permitted,0.0,152.2401178500656,994.1259610839268,277.28203580122107,0.563
meta-jeffersonville-in,Meta Jeffersonville Data Center,Trump,under_construction,0.0,292.4571647982084,407.0,265.8092538611245,0.87775
meta-lebanon-in,Meta Lebanon (Project Domino),Trump,under_construction,0.0,537.5998612789172,1000.0,527.0367406730221,0.86975
microsoft-granger-in,Microsoft Granger Data Center,Harris,under_construction,0.0,537.4772022242566,1000.0,522.5858356786165,0.86275
microsoft-laporte-in,Microsoft La Porte Data Center,Trump,under_construction,0.0,306.571173344565,1052.0154565923121,388.15790865534996,0.8715
project-shirley-eagle-creek-township-lake-county-in,Project Shirley,Harris,proposed,0.0,0.0,362.4671181822429,51.00576343786378,0.18225
