id,name,operator,status,state,county_raw,county_geocoded,city,lat,lon,mw,acres,investment,announced,jurisdiction,matched_county_fips,matched_county_name,matched_state,trump_votes,harris_votes,total_votes,trump_pct,harris_pct,margin_pct,county_winner
aligned-ord-01-il,Aligned ORD-01,Aligned Data Centers,operational,IL,Cook,Cook County,Northlake,41.914,-87.9175,,,,,city,17031,Cook County,IL,583852,1447821,2079239,28.080081222024017,69.63225487786637,-41.55217365584235,Harris
cyrusone-chi1-chi3-aurora-il,CyrusOne CHI1-CHI3 (Aurora),CyrusOne,operational,IL,DuPage,DuPage County,Aurora,41.7966,-88.2438,,,,,city,17043,DuPage County,IL,191243,251164,456882,41.858291637665744,54.9734942501565,-13.115202612490753,Harris
edgeconnex-chi02-il,EdgeConneX CHI02,EdgeConneX,operational,IL,Cook,Cook County,Elk Grove Village,42.0015,-87.9526,,,,,city,17031,Cook County,IL,583852,1447821,2079239,28.080081222024017,69.63225487786637,-41.55217365584235,Harris
edged-aurora-il,Edged Chicago Campus — Aurora (ORD01),Edged US,under_construction,IL,DuPage,DuPage County,Aurora,41.807,-88.2433,72.0,,,2025-11,city,17043,DuPage County,IL,191243,251164,456882,41.858291637665744,54.9734942501565,-13.115202612490753,Harris
equinix-ch8-minooka-il,Equinix CH8 Minooka,Equinix,proposed,IL,Grundy,Grundy County,Minooka,41.4506,-88.262,,300.0,,,city,17063,Grundy County,IL,16997,9143,26589,63.924931362593554,34.38640039113919,29.538530971454364,Trump
hut8-batavia-il,Hut 8 Batavia Data Center,Batavia DC Corp (Hut 8 Corp subsidiary),under_construction,IL,Kane,Kane County,Batavia,41.859,-88.275,50.0,7.2,500000000.0,,city,17089,Kane County,IL,99260,120077,223534,44.404878005135686,53.717555271233906,-9.312677266098222,Harris
hydravault-chicago-il,HydraVault Chicago,HydraVault,under_construction,IL,Cook,Cook County,Chicago,41.8465,-87.6255,20.0,,,2025-10-28,city,17031,Cook County,IL,583852,1447821,2079239,28.080081222024017,69.63225487786637,-41.55217365584235,Harris
joliet-technology-center-il,Joliet Technology Center,HW Technology Park (Hillwood Investment Properties / PowerHouse Data Centers),permitted,IL,Will,Will County,Joliet,41.432,-88.128,1800.0,795.0,20000000000.0,2025-10,city,17197,Will County,IL,157672,162874,327604,48.128838475720684,49.71673117544352,-1.587892699722836,Harris
lambda-chicago-edgeconnex-il,Lambda Chicago EdgeConneX AI Factory,Lambda,under_construction,IL,Cook,Cook County,Chicago,41.8781,-87.6298,23.0,,,2025-08-21,city,17031,Cook County,IL,583852,1447821,2079239,28.080081222024017,69.63225487786637,-41.55217365584235,Harris
hut8-logan-prairie-latham-il,Logan Prairie Data Center,Hut 8 Corp,proposed,IL,Logan,Logan County,Latham,39.9672,-89.1614,500.0,,5000000000.0,,city,17107,Logan County,IL,8757,3543,12564,69.69914040114614,28.199617956064948,41.49952244508118,Trump
eagle-rock-meridian-technology-park-taylorville-il,Meridian Technology Park,Eagle Rock Partners,proposed,IL,Christian,Christian County,Clarksdale,39.4898,-89.3679,1000.0,475.0,,,uninc,17021,Christian County,IL,11278,4026,15545,72.55065937600514,25.89900289482149,46.651656481183664,Trump
meta-dekalb-data-center-il,Meta DeKalb Data Center,Meta,operational,IL,DeKalb,DeKalb County,DeKalb,41.909,-88.792,,,1000000000.0,2020,uninc,17037,DeKalb County,IL,5529,2058,7805,70.83920563741192,26.367713004484305,44.471492632927614,Trump
ntt-chicago-ch2-data-center-il,NTT Chicago CH2 Data Center,NTT Global Data Centers,operational,IL,DuPage,DuPage County,Itasca,41.989,-88.0072,,,,,city,17043,DuPage County,IL,191243,251164,456882,41.858291637665744,54.9734942501565,-13.115202612490753,Harris
project-cardinal-yorkville-il,Project Cardinal Data Center Campus,Pioneer Development LLC,permitted,IL,Kendall,Kendall County,Yorkville,41.7,-88.461,1800.0,1037.0,,,uninc,17093,Kendall County,IL,31970,32977,66397,48.14976580267181,49.66640059038812,-1.5166347877163124,Harris
t5-chicago-iv-grayslake-il,T5 Chicago IV (CHI IV),T5 Data Centers,under_construction,IL,Lake,Lake County,Grayslake,42.3442,-88.0417,1200.0,400.0,,2026,city,17097,Lake County,IL,120402,184642,310913,38.72530257660503,59.3870310987318,-20.66172852212677,Harris
chirisa-volo-data-center-il,Volo Data Center,Chirisa Technology Parks,operational,IL,Lake,Lake County,Volo,42.3486,-88.1382,,50.0,,,uninc,17097,Lake County,IL,120402,184642,310913,38.72530257660503,59.3870310987318,-20.66172852212677,Harris
aws-hobart-in,AWS Hobart Campus,Amazon Web Services,under_construction,IN,Lake,Lake County,Hobart,41.517,-87.263,2400.0,725.0,,2025-11-24,city,18089,Lake County,IN,97270,109086,209551,46.418294353164626,52.05701714618398,-5.638722793019361,Harris
aws-wheatfield-in,AWS Wheatfield Campus (Project Rise),Amazon Web Services,permitted,IN,Jasper,Jasper County,Wheatfield,41.1955,-87.0586,,304.0,7000000000.0,2026-06-03,city,18073,Jasper County,IN,12082,3489,15826,76.34272715784152,22.04600025274864,54.29672690509288,Trump
amazon-project-rainier-new-carlisle-in,Amazon Project Rainier,Amazon Web Services,operational,IN,St. Joseph,St. Joseph County,New Carlisle,41.6978,-86.5117,2200.0,1200.0,11000000000.0,2024-04-25,city,18141,St. Joseph County,IN,53585,55215,110823,48.35187641554551,49.82269023578138,-1.4708138202358716,Harris
coreweave-digital-crossroads-hammond-in,CoreWeave Digital Crossroads,CoreWeave,cancelled,IN,Lake,Lake County,Hammond,41.5836,-87.5,180.0,,,2025-06,city,18089,Lake County,IN,97270,109086,209551,46.418294353164626,52.05701714618398,-5.638722793019361,Harris
dc-blox-warren-township-marion-county-in,DC BLOX Warren Township Data Center,DC BLOX,permitted,IN,Marion,Marion County,Warren Township,39.78,-86.05,78.0,150.0,2000000000.0,,city,18097,Marion County,IN,124327,221719,352540,35.266069098542005,62.89187042605094,-27.62580132750894,Harris
google-fort-wayne-in,Google Fort Wayne Data Center (Project Zodiac),Google,operational,IN,Allen,Allen County,Fort Wayne,40.99,-85.056,,700.0,2000000000.0,2024-04,uninc,18003,Allen County,IN,90283,69960,163163,55.333010547734474,42.87736803074226,12.45564251699221,Trump
google-project-louie-monrovia-in,Google Project Louie (Morgan County),Google,under_construction,IN,Morgan,Morgan County,Monrovia,39.57,-86.35,390.0,550.0,1000000000.0,2025,uninc,18109,Morgan County,IN,26965,7765,35352,76.27574111789997,21.964811043222447,54.31093007467753,Trump
jefferson-proving-ground-data-center-jefferson-county-in,Jefferson Proving Ground Data Center,Undisclosed,permitted,IN,Jefferson,Jefferson County,Madison,38.82,-85.4,,549.0,,2026,uninc,18077,Jefferson County,IN,9614,4442,14327,67.1040692398967,31.004397291826617,36.099671948070075,Trump
meta-jeffersonville-in,Meta Jeffersonville Data Center,Meta,under_construction,IN,Clark,Clark County,Jeffersonville,38.33,-85.715,407.0,619.0,800000000.0,2024-01,city,18019,Clark County,IN,34734,22810,58612,59.26090220432676,38.91694533542619,20.343956868900566,Trump
meta-lebanon-in,Meta Lebanon (Project Domino),Meta,under_construction,IN,Boone,Boone County,Lebanon,40.07,-86.45,1000.0,1500.0,10000000000.0,2026-02,uninc,18011,Boone County,IN,22840,16426,40109,56.94482535091875,40.95340197960557,15.991423371313171,Trump
microsoft-granger-in,Microsoft Granger Data Center,Microsoft,under_construction,IN,St. Joseph,St. Joseph County,Granger,41.73,-86.13,1000.0,939.0,,2024,uninc,18141,St. Joseph County,IN,53585,55215,110823,48.35187641554551,49.82269023578138,-1.4708138202358716,Harris
microsoft-laporte-in,Microsoft La Porte Data Center,Microsoft,under_construction,IN,La Porte,LaPorte County,La Porte,41.595,-86.735,,489.0,1000000000.0,2024-06,city,18091,LaPorte County,IN,26726,20007,47553,56.202552940929074,42.073055327739574,14.129497613189493,Trump
project-shirley-eagle-creek-township-lake-county-in,Project Shirley,Sentinel Data Centers,proposed,IN,Lake,Lake County,Eagle Creek Township,41.31,-87.3,500.0,160.0,5000000000.0,,uninc,18089,Lake County,IN,97270,109086,209551,46.418294353164626,52.05701714618398,-5.638722793019361,Harris
sabey-decatur-technology-park-marion-county-in,Sabey Decatur Technology Park,Sabey Data Centers,permitted,IN,Marion,Marion County,Decatur Township,39.7,-86.28,250.0,130.0,4000000000.0,,city,18097,Marion County,IN,124327,221719,352540,35.266069098542005,62.89187042605094,-27.62580132750894,Harris
beale-gardner-johnson-county-ks,Beale Infrastructure Gardner Campus,Beale Infrastructure,proposed,KS,Johnson,Johnson County,Gardner,38.81,-94.93,,300.0,,,city,20091,Johnson County,KS,154247,183451,343780,44.86793879806853,53.362906509977314,-8.494967711908778,Harris
beale-project-pilot-de-soto-ks,Beale Project Pilot (De Soto),Beale Infrastructure,under_construction,KS,Johnson,Johnson County,De Soto,38.966,-94.967,,290.0,3100000000.0,2025-08,city,20091,Johnson County,KS,154247,183451,343780,44.86793879806853,53.362906509977314,-8.494967711908778,Harris
kanza-flint-hills-digital-campus-emporia-ks,Flint Hills Digital Campus,Kanza Park Place LLC,proposed,KS,Lyon,Lyon County,Emporia,38.4019,-96.1917,,1000.0,,2026-06-02,city,20111,Lyon County,KS,7462,5515,13256,56.29149064574533,41.60380205190102,14.687688593844298,Trump
alcove-project-catalyst-osawatomie-ks,Project Catalyst,Alcove Development,proposed,KS,Miami,Miami County,Osawatomie,38.4999,-94.9459,500.0,283.0,1000000000.0,2026-05-29,city,20121,Miami County,KS,12854,5472,18685,68.7931495852288,29.285523146909288,39.50762643831951,Trump
cave-point-commerce-center-cave-city-ky,Cave Point Commerce Center,Kentucky Industrial Alliance (landowner),proposed,KY,Barren,Barren County,Cave City,37.1395,-85.9644,,600.0,,,city,21009,Barren County,KY,15019,4565,19802,75.84587415412585,23.05322694677305,52.79264720735279,Trump
terawulf-hawesville-ky,Justified Data Campus,TeraWulf,under_construction,KY,Hancock,Hancock County,Hawesville,37.8999,-86.7569,401.0,750.0,4000000000.0,2026,city,21091,Hancock County,KY,3375,1173,4633,72.84696740772716,25.318368227930065,47.52859917979711,Trump
powerhouse-louisville-ky,PowerHouse Data Centers – Louisville (Camp Ground Road),PowerHouse Data Centers,under_construction,KY,Jefferson,Jefferson County,Louisville,38.1953,-85.8485,402.0,153.0,,2025-01,city,21111,Jefferson County,KY,144553,203070,354094,40.82334069484374,57.34917846673482,-16.52583777189108,Harris
tenkey-franklin-ky,TenKey LandCo Project Lionsgate – Franklin Data Center,TenKey LandCo I LLC,proposed,KY,Simpson,Simpson County,Franklin,36.703,-86.591,,200.0,4800000000.0,2024,uninc,21213,Simpson County,KY,6253,2403,8776,71.25113947128531,27.381494986326345,43.86964448495898,Trump
terawulf-muskie-eastpark-ky,TeraWulf Muskie Data Campus (EastPark),TeraWulf,proposed,KY,Greenup,Boyd County,Ashland,38.4042,-82.79,1000.0,285.0,,2026-05-26,uninc,21089,Greenup County,KY,12961,4181,17374,74.59997697709221,24.064694370899044,50.535282606193164,Trump
aws-benton-bossier-parish-la,Amazon Web Services Bossier Parish Campus (Benton),Amazon Web Services,under_construction,LA,Bossier,Bossier Parish,Benton,32.77,-93.74,,,,2026-02,uninc,22015,Bossier Parish,LA,37105,14467,52232,71.03882677285955,27.69758002756931,43.34124674529025,Trump
aws-blanchard-caddo-parish-la,Amazon Web Services Caddo Parish Campus (Blanchard),Amazon Web Services,under_construction,LA,Caddo,Caddo Parish,Blanchard,32.6,-94.04,,,,2026-02,uninc,22017,Caddo Parish,LA,44471,48864,94699,46.960369169685,51.59927771148587,-4.6389085418008635,Harris
applied-digital-delta-forge-1-la,Applied Digital Delta Forge 1 AI Factory Campus,Applied Digital Corporation,under_construction,LA,Rapides,Grant Parish,Boyce,31.4,-92.65,300.0,300.0,3600000000.0,2026-05,uninc,22079,Rapides Parish,LA,36171,16537,53395,67.74229796797454,30.97106470643319,36.77123326154134,Trump
stack-bossier-parish-la,Bossier Parish Campus (with Amazon),STACK Infrastructure,under_construction,LA,Bossier,Bossier Parish,Benton,32.69,-93.74,,,,,city,22015,Bossier Parish,LA,37105,14467,52232,71.03882677285955,27.69758002756931,43.34124674529025,Trump
stack-caddo-parish-la,Caddo Parish Campus (with Amazon),STACK Infrastructure,under_construction,LA,Caddo,Caddo Parish,Blanchard,32.58,-93.9,,,,,uninc,22017,Caddo Parish,LA,44471,48864,94699,46.960369169685,51.59927771148587,-4.6389085418008635,Harris
hut8-river-bend-west-feliciana-la,Hut 8 River Bend AI Data Center Campus,Hut 8,under_construction,LA,West Feliciana,West Feliciana Parish,St. Francisville,30.79,-91.38,330.0,611.0,10000000000.0,2025-01,city,22125,West Feliciana Parish,LA,3923,2004,6008,65.29627163781625,33.3555259653795,31.940745672436748,Trump
meta-hyperion-richland-parish-la,Meta Hyperion,Meta,under_construction,LA,Richland,Richland Parish,Delhi vicinity,32.4442,-91.4906,2000.0,2250.0,10000000000.0,2025-01,city,22083,Richland Parish,LA,6354,2732,9193,69.11780702708583,29.71826389644295,39.399543130642876,Trump
coresite-bo1-boston-ma-ma,"CoreSite BO1 - Boston, MA",CoreSite,operational,MA,Middlesex,Middlesex County,Somerville,42.3767,-71.0798,,,,,city,25017,Middlesex County,MA,235118,554471,814832,28.854782335499834,68.04727845739981,-39.19249612189997,Harris
markley-lowell-ma,Markley Group One Lowell Data Center,Markley Group,operational,MA,Middlesex,Middlesex County,Lowell,42.6334,-71.3162,,,,2015-01,city,25017,Middlesex County,MA,235118,554471,814832,28.854782335499834,68.04727845739981,-39.19249612189997,Harris
aws-calvert-cliffs-md,AWS Calvert County Data Center Campus,Amazon Web Services,cancelled,MD,Calvert,Calvert County,Lusby,38.437,-76.443,,,,2026-03,uninc,24009,Calvert County,MD,29361,23438,54191,54.18058349172372,43.250724290011256,10.929859201712462,Trump
aligned-quantum-frederick-md,Aligned Data Centers IAD-04 Frederick,Aligned Data Centers,under_construction,MD,Frederick,Frederick County,Adamstown,39.263,-77.387,72.0,75.0,,2025-02,uninc,24021,Frederick County,MD,68753,82409,156114,44.040252635894284,52.78770641966768,-8.747453783773397,Harris
aligned-iad-06-frederick-md,Aligned Data Centers IAD-06 Frederick,Aligned Data Centers,under_construction,MD,Frederick,Frederick County,Frederick,39.3417,-77.5089,72.0,,,2025-10,uninc,24021,Frederick County,MD,68753,82409,156114,44.040252635894284,52.78770641966768,-8.747453783773397,Harris
lerner-brightseat-tech-park-md,Brightseat Tech Park,Lerner Enterprises / The Tower Companies (Brightseat Associates LLC),permitted,MD,Prince George's,Prince George's County,Landover,38.931,-76.868,820.0,87.0,5000000000.0,2024-03,city,24033,Prince George's County,MD,45008,347038,404009,11.140345883383786,85.89858146724454,-74.75823558386075,Harris
rowan-digital-frederick-md,Rowan Digital Infrastructure Frederick Campus (Bauxite I),Rowan Digital Infrastructure,under_construction,MD,Frederick,Frederick County,Adamstown,39.265,-77.394,300.0,151.0,,2024,uninc,24021,Frederick County,MD,68753,82409,156114,44.040252635894284,52.78770641966768,-8.747453783773397,Harris
terawulf-morgantown-charles-county-md,TeraWulf Morgantown Generating Station AI Campus,TeraWulf,proposed,MD,Charles,Charles County,,38.3617,-76.9797,1000.0,250.0,,2026-02,uninc,24017,Charles County,MD,26145,63454,92097,28.38854685820385,68.89909551885512,-40.51054866065127,Harris
liquidcool-loring-afb-me,Loring LiquidCool Data Center (Green 4 Maine Campus),LiquidCool Solutions / Green 4 Maine,proposed,ME,Aroostook,Aroostook County,Limestone,46.9502,-67.8849,50.0,,,2025-10,uninc,23003,Aroostook County,ME,22246,12900,35653,62.39587131517684,36.182088463803886,26.213782851372958,Trump
sentinel-jay-me,"Sentinel Data Centers Androscoggin Mill Campus, Jay",Sentinel Data Centers,cancelled,ME,Franklin,Franklin County,Jay,44.5024,-70.2175,82.0,,550000000.0,2025-01,uninc,23007,Franklin County,ME,9459,7990,17836,53.033191298497414,44.79703969499888,8.236151603498543,Trump
wiscasset-proposed-me,Wiscasset Data Center (Old Ferry Road Site),Unnamed developer (NDA with town),proposed,ME,Lincoln,Lincoln County,Wiscasset,44.0015,-69.6553,,200.0,,2025-09,uninc,23015,Lincoln County,ME,10409,13110,24003,43.36541265675124,54.61817272840895,-11.25276007165771,Harris
alterra-marshall-technology-energy-center-mi,Marshall Technology & Energy Center,Alterra Development,proposed,MI,Calhoun,Calhoun County,Marshall,42.2723,-84.9633,,270.0,,2025-10-30,city,26025,Calhoun County,MI,38606,28988,68505,56.355010583169104,42.31515947741041,14.039851105758705,Trump
project-cannoli-van-buren-township-wayne-county-mi,Project Cannoli,Google,proposed,MI,Wayne,Wayne County,Van Buren Township,42.23,-83.44,1000.0,,,,uninc,26163,Wayne County,MI,288860,537032,856690,33.71814775473042,62.68685288727545,-28.96870513254503,Harris
verrus-project-flex-lyon-township-oakland-county-mi,Project Flex,Verrus (Sidewalk Infrastructure Partners),proposed,MI,Oakland,Oakland County,Lyon Township,42.47,-83.53,,180.0,,,city,26125,Oakland County,MI,337791,419519,772145,43.74709413387382,54.33163460230915,-10.584540468435332,Harris
stargate-saline-township-mi,Stargate The Barn Campus,OpenAI / Oracle / Related Digital,under_construction,MI,Washtenaw,Washtenaw County,Saline Township,42.174,-83.8063,1400.0,250.0,16000000000.0,2025-10,uninc,26161,Washtenaw County,MI,58844,157152,221542,26.561103537929604,70.93553366855946,-44.37443013062986,Harris
switch-pyramid-campus-grand-rapids-mi,Switch Pyramid Campus,Switch,under_construction,MI,Kent,Kent County,Gaines Township,42.823,-85.64,320.0,138.0,5000000000.0,2022,uninc,26081,Kent County,MI,172720,192668,371947,46.43672351168311,51.7998532048921,-5.363129693208979,Harris
thor-equities-augusta-township-mi,Thor Equities Augusta Township Data Center (Form8tion),Thor Equities,cancelled,MI,Washtenaw,Washtenaw County,Augusta Township,42.163,-83.72,,810.0,1000000000.0,2024,uninc,26161,Washtenaw County,MI,58844,157152,221542,26.561103537929604,70.93553366855946,-44.37443013062986,Harris
amazon-becker-mn,Amazon Becker Data Center (Suspended),Amazon Web Services,cancelled,MN,Sherburne,Sherburne County,Becker,45.397,-93.876,,348.0,1000000000.0,2024,city,27141,Sherburne County,MN,38491,18329,57960,66.4095928226363,31.62353347135956,34.78605935127674,Trump
google-hermantown-mn,Google Hermantown Data Center Campus,Google,proposed,MN,St. Louis,St. Louis County,Hermantown,46.8023,-92.2408,700.0,403.0,,2025-10,city,27137,St. Louis County,MN,50065,66335,119009,42.068246939307116,55.73948188792445,-13.67123494861733,Harris
google-skyway-pine-island-mn,Google Project Skyway (Pine Island),Google,proposed,MN,Goodhue,Goodhue County,Pine Island,44.2019,-92.6496,,,,2026-02,city,27049,Goodhue County,MN,16461,11731,28817,57.12253183884513,40.70860950133602,16.41392233750911,Trump
meta-rosemount-mn,Meta Rosemount Data Center,Meta,under_construction,MN,Dakota,Dakota County,Rosemount,44.74,-93.115,75.0,280.0,800000000.0,2024-03,city,27037,Dakota County,MN,109995,143267,259805,42.33752237254864,55.144050345451404,-12.806527972902753,Harris
geronimo-nobles-county-powered-data-park-mn,Nobles County Powered Data Park,Geronimo Power (Brookfield Asset Management subsidiary),proposed,MN,Nobles,Nobles County,Worthington,43.62,-95.6,400.0,,,,city,27105,Nobles County,MN,5541,2599,8275,66.9607250755287,31.40785498489426,35.55287009063444,Trump
aws-green-new-florence-mo,AWS Project Green Campus,Amazon Web Services,under_construction,MO,Montgomery,Montgomery County,New Florence,38.852,-91.52,,1000.0,10000000000.0,2026,uninc,29139,Montgomery County,MO,4776,1170,5998,79.62654218072691,19.50650216738913,60.120040013337785,Trump
cloverleaf-troy-mo,Cloverleaf Troy Campus,Cloverleaf Infrastructure,proposed,MO,Lincoln,Lincoln County,Troy,38.9784,-90.9832,500.0,,,,city,29113,Lincoln County,MO,24866,6908,32133,77.38462017240842,21.498148321040674,55.88647185136776,Trump
crusoe-warrenton-mo,Crusoe Warrenton Campus,Crusoe,permitted,MO,Warren,Warren County,Warrenton,38.8125,-91.1432,,337.0,,2025,city,29219,Warren County,MO,14915,4970,20095,74.22244339387908,24.7325205274944,49.489922866384674,Trump
google-project-mica-kc-northland-mo,Google Project Mica,Google,under_construction,MO,Clay,Platte County,Kansas City,39.274,-94.651,500.0,493.0,10000000000.0,2026-02,city,29047,Clay County,MO,67688,60345,130160,52.00368776889982,46.36216963736939,5.641518131530424,Trump
google-spade-new-florence-mo,Google Project Spade Campus,Google,under_construction,MO,Montgomery,Montgomery County,New Florence,38.791,-91.508,1200.0,934.0,15000000000.0,2026-01,uninc,29139,Montgomery County,MO,4776,1170,5998,79.62654218072691,19.50650216738913,60.120040013337785,Trump
lambda-kansas-city-mo,Lambda Kansas City AI Supercomputer,Lambda,under_construction,MO,Platte,Platte County,Kansas City,39.33,-94.72,100.0,16.9,500000000.0,2025,city,29165,Platte County,MO,29381,27566,57817,50.817233685594196,47.6780185758514,3.139215109742809,Trump
meta-kansas-city-northland-mo,Meta Kansas City Northland,Meta,operational,MO,Clay,Platte County,Kansas City,39.247,-94.705,,,1000000000.0,2022-03,city,29047,Clay County,MO,67688,60345,130160,52.00368776889982,46.36216963736939,5.641518131530424,Trump
metrobloks-liberty-mo,Metrobloks Liberty Campus,Metrobloks,proposed,MO,Clay,Clay County,Liberty,39.2459,-94.4191,150.0,,,2026,city,29047,Clay County,MO,67688,60345,130160,52.00368776889982,46.36216963736939,5.641518131530424,Trump
nebius-independence-mo,Nebius AI Factory (Independence),Nebius Group,under_construction,MO,Jackson,Jackson County,Independence,39.089,-94.342,1200.0,400.0,6600000000.0,2026-03,city,29095,Jackson County,MO,99385,91366,193729,51.301044242214644,47.161756887198095,4.139287355016544,Trump
patmos-kansas-city-mo,Patmos KC Star Building Campus,Patmos Hosting,operational,MO,Jackson,Jackson County,Kansas City,39.0997,-94.5786,35.0,5.0,,,city,29095,Jackson County,MO,99385,91366,193729,51.301044242214644,47.161756887198095,4.139287355016544,Trump
lumon-marshfield-mo,Rifle Range Road Data Center,Lumon Solutions,under_construction,MO,Webster,Webster County,Marshfield,37.3422,-92.911,,5.0,,,city,29225,Webster County,MO,15984,3653,19814,80.67023316846674,18.436459069344906,62.23377409912183,Trump
avaio-taurus-brandon-ms,AVAIO Digital Taurus,AVAIO Digital Partners,under_construction,MS,Rankin,Rankin County,Brandon,32.27,-89.99,116.0,329.0,6000000000.0,2025,city,28121,Rankin County,MS,50896,18060,69678,73.04457648038118,25.919228450874023,47.125348029507165,Trump
aws-project-atlas-madison-county-ms,AWS Project Atlas – Madison County Campus,Amazon Web Services,under_construction,MS,Madison,Madison County,Canton,32.6121,-90.039,1000.0,1700.0,10000000000.0,2024,city,28089,Madison County,MS,32333,22700,55710,58.03805420929815,40.74672410698259,17.291330102315563,Trump
compass-lauderdale-meridian-ms,Compass Datacenters Lauderdale County Hyperscale Campus,Compass Datacenters,under_construction,MS,Lauderdale,Lauderdale County,Meridian,32.3644,-88.7037,500.0,,,2025-01-09,city,28075,Lauderdale County,MS,16487,10677,27407,60.15616448352611,38.95720071514577,21.19896376838034,Trump
xai-southaven-ms,xAI Southaven,xAI,operational,MS,DeSoto,DeSoto County,Southaven,34.993,-89.974,2000.0,,20000000000.0,2026-01,city,28033,DeSoto County,MS,48064,29023,79082,60.77742090488354,36.69988113603601,24.077539768847526,Trump
quantica-bsdi-billings-mt,Big Sky Digital Infrastructure Campus,Quantica Infrastructure,proposed,MT,Yellowstone,Yellowstone County,Billings,45.823,-108.7,1000.0,5000.0,,2025-08,uninc,30111,Yellowstone County,MT,50460,28392,81391,61.9970266982836,34.8834637736359,27.113562924647688,Trump
aws-richmond-county-nc,Amazon Web Services Richmond County Data Center Campus,Amazon Web Services,under_construction,NC,Richmond,Richmond County,Rockingham,34.9445,-79.775,,800.0,10000000000.0,2025-06,city,37153,Richmond County,NC,11931,7787,19873,60.03623006088663,39.183817239470635,20.852412821415992,Trump
apple-maiden-nc,Apple Maiden Data Center (iCloud),Apple,operational,NC,Catawba,Catawba County,Maiden,35.5886,-81.2567,,183.0,,2009,city,37035,Catawba County,NC,59577,26569,87109,68.39362178420141,30.500866730188612,37.89275505401279,Trump
compass-statesville-nc,Compass Statesville Campus,Compass Datacenters,proposed,NC,Iredell,Iredell County,Statesville,35.7826,-80.8873,500.0,333.0,,2025-09,city,37097,Iredell County,NC,72801,36739,110875,65.66042841037203,33.13551296505074,32.524915445321305,Trump
deep-river-data-cumnock-lee-county-nc,"Deep River Data AI Data Center (Cumnock, Lee County)",Deep River Data,proposed,NC,Lee,Lee County,Cumnock,35.555,-79.2378,,,,2025-09,uninc,37105,Lee County,NC,17489,12245,30081,58.139689505003155,40.70675841893554,17.43293108606762,Trump
digital-realty-charlotte-nc,Digital Realty Moores Chapel Data Center Campus,Digital Realty,permitted,NC,Mecklenburg,Mecklenburg County,Charlotte,35.2422,-80.9562,400.0,156.0,,2025-04,city,37119,Mecklenburg County,NC,187770,376454,577505,32.514004207755775,65.18627544350265,-32.67227123574688,Harris
google-lenoir-nc,Google Lenoir Data Center,Google,operational,NC,Caldwell,Caldwell County,Lenoir,35.9002,-81.5469,,,1200000000.0,2007,city,37027,Caldwell County,NC,33009,10146,43540,75.8130454754249,23.302710151584748,52.51033532384015,Trump
impactdata-greensboro-nc,ImpactData Greensboro,ImpactData,under_construction,NC,Guilford,Guilford County,Greensboro,36.0726,-79.792,20.0,,,,city,37081,Guilford County,NC,109077,171118,285053,38.265515535707394,60.030239990457915,-21.76472445475052,Harris
meta-forest-city-nc,Meta Forest City Data Center,Meta,operational,NC,Rutherford,Rutherford County,Forest City,35.317,-81.826,,150.0,750000000.0,2010,city,37161,Rutherford County,NC,25456,8914,34670,73.42370925872513,25.710989327949235,47.71271993077589,Trump
microsoft-person-county-roxboro-nc,Microsoft Person County Mega Park,Microsoft,permitted,NC,Person,Person County,Roxboro,36.396,-78.9828,,1385.0,,2026,city,37145,Person County,NC,13509,8295,22036,61.304229442730076,37.64294790343075,23.661281539299328,Trump
natelli-new-hill-nc,Natelli New Hill Digital Campus,Natelli Holdings,cancelled,NC,Wake,Chatham County,New Hill,35.6526,-79.0033,300.0,,,,uninc,37183,Wake County,NC,236735,402984,653580,36.22127360078338,61.65794546956761,-25.436671868784234,Harris
prsm-group-cumberland-county-nc,PRSM Group Cumberland County AI Data Center (undisclosed industrial park),PRSM Group,proposed,NC,Cumberland,Cumberland County,,35.0462,-78.8394,225.0,50.0,,,uninc,37051,Cumberland County,NC,59840,78631,140513,42.5868069146627,55.959946766491356,-13.373139851828656,Harris
pointone-lower-moncure-road-lee-county-nc,PointOne Lower Moncure Road Data Center (Lee County),PointOne,proposed,NC,Lee,Lee County,Sanford,35.4878,-79.1783,90.0,428.85,900000000.0,2026-06,city,37105,Lee County,NC,17489,12245,30081,58.139689505003155,40.70675841893554,17.43293108606762,Trump
powerhouse-charlotte-nc,PowerHouse Charlotte Campus,PowerHouse Data Centers,under_construction,NC,Mecklenburg,Mecklenburg County,Charlotte,35.2271,-80.8431,300.0,120.0,,,city,37119,Mecklenburg County,NC,187770,376454,577505,32.514004207755775,65.18627544350265,-32.67227123574688,Harris
project-delta-walnut-cove-nc,Project Delta Data Center – Stokes County,Undisclosed (rezoning applicant: Engineered Land Solutions),proposed,NC,Stokes,Stokes County,Walnut Cove,36.282,-80.1494,,1800.0,,2025-11,city,37169,Stokes County,NC,21548,5380,27175,79.29346826126955,19.79760809567617,59.49586016559337,Trump
quiet-data-centers-enfield-halifax-county-nc,Project Q — Quiet Data Centers Enfield (Halifax County),Quiet Data Centers Halifax Inc.,proposed,NC,Halifax,Halifax County,Enfield,36.18,-77.6689,88.0,251.0,250000000.0,2025-11,city,37083,Halifax County,NC,9778,14014,23965,40.80116837054037,58.47694554558731,-17.675777175046946,Harris
