id,name,operator,status,state,county_raw,county_geocoded,city,lat,lon,mw,acres,investment,announced,jurisdiction,matched_county_fips,matched_county_name,matched_state,trump_votes,harris_votes,total_votes,trump_pct,harris_pct,margin_pct,county_winner
fremont-peak-luckett-road-marana-az,Luckett Road Data Centers (Fremont Peak Properties),Fremont Peak Properties LLC (Beale Infrastructure),proposed,AZ,Pima,Pima County,Marana,32.495,-111.198,1500.0,661.0,5000000000.0,2025-10,city,04019,Pima County,AZ,214669,292450,513176,41.83145743370695,56.98824574804745,-15.1567883143405,Harris
meta-mesa-az,Meta Mesa Data Center,Meta,operational,AZ,Maricopa,Maricopa County,Mesa,33.3375,-111.6355,,396.0,1000000000.0,2021,city,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
microsoft-el-mirage-az,Microsoft El Mirage Data Center Campus,Microsoft,operational,AZ,Maricopa,Maricopa County,El Mirage,33.5695,-112.3204,,433.0,258000000.0,2024-10,city,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
microsoft-goodyear-az,Microsoft Goodyear Data Center Campus,Microsoft,operational,AZ,Maricopa,Maricopa County,Goodyear,33.4353,-112.39,,550.0,1500000000.0,2018-01,city,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
ntt-global-mesa-az,NTT Global Data Centers Mesa — Pacific Proving Technology Park,NTT Global Data Centers,proposed,AZ,Maricopa,Maricopa County,Mesa,33.3025,-111.62,360.0,173.0,300000000.0,2023-11,uninc,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
novva-mesa-az,Novva Mesa Data Center Campus,Novva Data Centers,under_construction,AZ,Maricopa,Maricopa County,Mesa,33.3717,-111.6747,300.0,160.0,3000000000.0,2024-08,city,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
takanock-project-baccara-maricopa-county-az,Project Baccara,"Takanock, LLC",permitted,AZ,Maricopa,Maricopa County,,33.5685,-112.3703,700.0,160.0,36000000000.0,,uninc,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
beale-project-blue-pima-county-az,Project Blue,Beale Infrastructure,under_construction,AZ,Pima,Pima County,,32.1,-110.75,,290.0,3600000000.0,,city,04019,Pima County,AZ,214669,292450,513176,41.83145743370695,56.98824574804745,-15.1567883143405,Harris
beale-project-blue-tucson-az,Project Blue,Beale Infrastructure,under_construction,AZ,Pima,Pima County,Tucson,32.153,-110.8708,,290.0,3600000000.0,2025-06,city,04019,Pima County,AZ,214669,292450,513176,41.83145743370695,56.98824574804745,-15.1567883143405,Harris
stream-data-centers-phxa-phoenix-i-vii-goodyear-campus-az,"Stream Data Centers PHXA (Phoenix I-VII, Goodyear Campus)",Stream Data Centers,operational,AZ,Maricopa,Maricopa County,Goodyear,33.4195,-112.36,280.0,157.0,,,city,04013,Maricopa County,AZ,1051531,980016,2053945,51.1956746650957,47.713838491293586,3.481836173802122,Trump
avaio-perseus-pittsburg-ca,AVAIO Digital Perseus,AVAIO Digital Partners,permitted,CA,Contra Costa,Contra Costa County,Pittsburg,38.0114,-121.911,99.0,76.0,800000000.0,2024-12,city,06013,Contra Costa County,CA,155308,356008,528987,29.35951167041912,67.29995255081883,-37.940440880399706,Harris
amazon-gilroy-ca,Amazon AWS Gilroy Data Center,Amazon Web Services,under_construction,CA,Santa Clara,Santa Clara County,Gilroy,36.997,-121.541,98.0,56.0,2000000000.0,2025-07,city,06085,Santa Clara County,CA,210924,510744,750606,28.100494800201435,68.04422027002182,-39.943725469820386,Harris
calethos-lithium-valley-imperial-county-ca,CalEthos Lithium Valley Data Center Campus,"CalEthos, Inc.",proposed,CA,Imperial,Imperial County,El Centro,32.79,-115.56,,315.0,,,city,06025,Imperial County,CA,26546,26083,54038,49.12469003293978,48.26788556201192,0.8568044709278655,Trump
coresite-bowers-santa-clara-ca,CoreSite Bowers Data Center,CoreSite,permitted,CA,Santa Clara,Santa Clara County,Santa Clara,37.389,-121.974,72.0,5.0,,2024-08,city,06085,Santa Clara County,CA,210924,510744,750606,28.100494800201435,68.04422027002182,-39.943725469820386,Harris
coresite-la2-los-angeles-ca-ca,"CoreSite LA2 - Los Angeles, CA",CoreSite,operational,CA,Los Angeles,Los Angeles County,Los Angeles,34.0585,-118.2359,,,,,city,06037,Los Angeles County,CA,1189862,2417109,3729089,31.907578499735457,64.81768067214271,-32.91010217240726,Harris
cyrusone-nas-lemoore-ca,CyrusOne AI Data Center at NAS Lemoore,CyrusOne,proposed,CA,Kings,Kings County,,36.303,-119.953,100.0,,,2025-09,uninc,06031,Kings County,CA,25074,15519,41508,60.40763226366002,37.38797340271755,23.019658860942467,Trump
databank-san1-san-diego-ca,DataBank San Diego SAN1,DataBank,operational,CA,San Diego,San Diego County,San Diego,32.9886,-117.0732,3.2,,,,city,06073,San Diego County,CA,593270,841372,1478028,40.1392937075617,56.9253085868468,-16.7860148792851,Harris
ecl-csc1-santa-clara-ca,ECL CSC-1 FlexGrid AI Data Center,ECL,proposed,CA,Santa Clara,Santa Clara County,Santa Clara,37.354,-121.955,35.0,,,2026-04,city,06085,Santa Clara County,CA,210924,510744,750606,28.100494800201435,68.04422027002182,-39.943725469820386,Harris
