matched_county_fips,matched_county_name,matched_state,trump_pct,county_winner,total_votes,facility_count,total_mw
24017,Charles County,MD,28.38854685820385,Harris,92097,1,1000.0
24021,Frederick County,MD,44.040252635894284,Harris,156114,3,444.0
24033,Prince George's County,MD,11.140345883383786,Harris,404009,1,820.0
25017,Middlesex County,MA,28.854782335499834,Harris,814832,2,0.0
26025,Calhoun County,MI,56.355010583169104,Trump,68505,1,0.0
26081,Kent County,MI,46.43672351168311,Harris,371947,1,320.0
26125,Oakland County,MI,43.74709413387382,Harris,772145,1,0.0
26161,Washtenaw County,MI,26.561103537929604,Harris,221542,2,1400.0
26163,Wayne County,MI,33.71814775473042,Harris,856690,1,1000.0
27037,Dakota County,MN,42.33752237254864,Harris,259805,1,75.0
27049,Goodhue County,MN,57.12253183884513,Trump,28817,1,0.0
27105,Nobles County,MN,66.9607250755287,Trump,8275,1,400.0
27137,St. Louis County,MN,42.068246939307116,Harris,119009,1,700.0
27141,Sherburne County,MN,66.4095928226363,Trump,57960,1,0.0
28033,DeSoto County,MS,60.77742090488354,Trump,79082,1,2000.0
28075,Lauderdale County,MS,60.15616448352611,Trump,27407,1,500.0
28089,Madison County,MS,58.03805420929815,Trump,55710,1,1000.0
28121,Rankin County,MS,73.04457648038118,Trump,69678,1,116.0
29047,Clay County,MO,52.00368776889982,Trump,130160,3,650.0
29095,Jackson County,MO,51.301044242214644,Trump,193729,2,1235.0
29113,Lincoln County,MO,77.38462017240842,Trump,32133,1,500.0
29139,Montgomery County,MO,79.62654218072691,Trump,5998,2,1200.0
29165,Platte County,MO,50.817233685594196,Trump,57817,1,100.0
29219,Warren County,MO,74.22244339387908,Trump,20095,1,0.0
29225,Webster County,MO,80.67023316846674,Trump,19814,1,0.0
30111,Yellowstone County,MT,61.9970266982836,Trump,81391,1,1000.0
31055,Douglas County,NE,44.2273859467526,Harris,273403,3,0.0
31109,Lancaster County,NE,47.080877734992036,Harris,157633,2,1700.0
31131,Otoe County,NE,68.9314466943157,Trump,8198,1,1000.0
31153,Sarpy County,NE,55.161562515511,Trump,100735,6,0.0
32003,Clark County,NV,47.81235484468442,Harris,1031223,11,167.0
32019,Lyon County,NV,71.13979905190662,Trump,33541,4,2600.0
32023,Nye County,NV,70.17816794458643,Trump,26997,1,0.0
32029,Storey County,NV,68.5528455284553,Trump,3075,11,4765.0
32031,Washoe County,NV,48.32255226857364,Harris,263734,1,0.0
34011,Cumberland County,NJ,51.31072738659748,Trump,55885,2,1700.0
34017,Hudson County,NJ,34.56728710404402,Harris,231181,1,0.0
34035,Somerset County,NJ,41.76774964489437,Harris,177412,1,0.0
34037,Sussex County,NJ,61.58999870020915,Trump,84629,1,0.0
34039,Union County,NJ,37.012118089032214,Harris,240632,1,250.0
35005,Chaves County,NM,71.5945945945946,Trump,22200,1,1240.0
35007,Colfax County,NM,55.943574746258385,Trump,5813,1,50.0
35013,Dona Ana County,NM,44.01746929408596,Harris,85407,1,1000.0
35025,Lea County,NM,80.1405063887972,Trump,21209,1,7000.0
35061,Valencia County,NM,57.267782552513744,Trump,33277,1,0.0
36029,Erie County,NY,44.852480560727194,Harris,456550,1,300.0
36061,New York County,NY,17.40921066304793,Harris,654372,1,0.0
36063,Niagara County,NY,57.28539211762064,Trump,102431,2,135.0
36067,Onondaga County,NY,41.12251019130313,Harris,228381,1,300.0
36089,St. Lawrence County,NY,58.872030163994005,Trump,44026,1,0.0
36109,Tompkins County,NY,24.400412619272757,Harris,46532,1,400.0
37027,Caldwell County,NC,75.8130454754249,Trump,43540,1,0.0
37035,Catawba County,NC,68.39362178420141,Trump,87109,1,0.0
